node_count,ping_interval,distance_cm,local_sent_packets,remote_received_packets,location
2,2100,10000,9,9,ground_truth
2,2100,10000,9,9,ground_truth
2,2100,10000,9,9,ground_truth
2,2100,10000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,13000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,16000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
2,2100,21000,9,9,ground_truth
3,100,150,195,115,city
3,100,150,195,120,city
3,100,150,195,101,city
3,100,150,195,59,city
3,100,150,195,112,city
3,100,300,195,6,city
3,100,300,195,102,city
3,100,300,195,107,city
3,100,300,195,119,city
3,100,300,195,116,city
3,100,500,195,68,city
3,100,500,195,87,city
3,100,500,196,67,city
3,100,500,195,92,city
3,100,500,195,74,city
3,100,800,195,42,city
3,100,800,195,50,city
3,100,800,195,46,city
3,100,800,195,97,city
3,100,800,195,48,city
3,500,150,39,37,city
3,500,150,39,40,city
3,500,150,39,38,city
3,500,150,39,40,city
3,500,150,39,37,city
3,500,300,39,34,city
3,500,300,39,35,city
3,500,300,39,34,city
3,500,300,39,34,city
3,500,300,39,36,city
3,500,500,39,37,city
3,500,500,39,36,city
3,500,500,39,40,city
3,500,500,39,34,city
3,500,500,39,36,city
3,500,800,39,39,city
3,500,800,39,35,city
3,500,800,39,37,city
3,500,800,39,38,city
3,500,800,39,27,city
3,500,10000,39,32,city
3,500,10000,39,33,city
3,500,10000,39,37,city
3,500,10000,39,35,city
3,500,10000,39,37,city
3,500,13000,39,17,city
3,500,13000,39,16,city
3,500,13000,39,35,city
3,500,13000,39,22,city
3,500,13000,39,34,city
3,800,150,24,35,city
3,800,150,24,24,city
3,800,150,24,24,city
3,800,150,24,24,city
3,800,150,24,24,city
3,800,300,24,25,city
3,800,300,24,24,city
3,800,300,24,24,city
3,800,300,24,24,city
3,800,300,24,24,city
3,800,500,24,24,city
3,800,500,24,24,city
3,800,500,24,24,city
3,800,500,24,24,city
3,800,500,24,24,city
3,800,800,24,25,city
3,800,800,24,24,city
3,800,800,24,12,city
3,800,800,24,24,city
3,800,800,24,24,city
3,800,10000,24,25,city
3,800,10000,24,24,city
3,800,10000,24,24,city
3,800,10000,24,24,city
3,800,10000,24,22,city
3,800,13000,24,12,city
3,800,13000,24,24,city
3,800,13000,24,24,city
3,800,13000,24,22,city
3,800,13000,24,17,city
3,1300,150,15,16,city
3,1300,150,15,16,city
3,1300,150,15,16,city
3,1300,150,15,16,city
3,1300,150,15,16,city
3,1300,300,15,16,city
3,1300,300,15,16,city
3,1300,300,15,16,city
3,1300,300,15,16,city
3,1300,300,15,16,city
3,1300,500,15,16,city
3,1300,500,15,16,city
3,1300,500,15,16,city
3,1300,500,15,16,city
3,1300,500,15,13,city
3,1300,800,15,16,city
3,1300,800,15,16,city
3,1300,800,15,16,city
3,1300,800,15,16,city
3,1300,800,15,16,city
3,1300,10000,15,16,city
3,1300,10000,15,16,city
3,1300,10000,15,14,city
3,1300,10000,15,16,city
3,1300,10000,15,16,city
3,1300,13000,15,16,city
3,1300,13000,15,6,city
3,1300,13000,15,16,city
3,1300,13000,15,11,city
3,1300,13000,15,15,city
3,1300,16000,15,14,city
3,1300,16000,15,16,city
3,1300,16000,15,11,city
3,1300,16000,15,8,city
3,1300,16000,15,4,city
3,1300,21000,15,8,city
3,1300,21000,15,13,city
3,1300,21000,15,15,city
3,1300,21000,15,16,city
3,1300,21000,15,15,city
3,2100,150,9,10,city
3,2100,150,9,10,city
3,2100,150,9,10,city
3,2100,150,9,10,city
3,2100,150,9,10,city
3,2100,300,9,10,city
3,2100,300,9,10,city
3,2100,300,9,10,city
3,2100,300,9,10,city
3,2100,300,9,10,city
3,2100,500,9,10,city
3,2100,500,9,10,city
3,2100,500,9,10,city
3,2100,500,9,10,city
3,2100,500,9,10,city
3,2100,800,9,8,city
3,2100,800,9,8,city
3,2100,800,9,8,city
3,2100,800,9,3,city
3,2100,800,9,10,city
3,2100,10000,9,8,city
3,2100,10000,9,10,city
3,2100,10000,9,8,city
3,2100,10000,9,7,city
3,2100,10000,9,7,city
3,2100,13000,9,10,city
3,2100,13000,9,7,city
3,2100,13000,9,1,city
3,2100,13000,9,9,city
3,2100,13000,9,6,city
3,2100,16000,9,6,city
3,2100,16000,9,10,city
3,2100,16000,9,10,city
3,2100,16000,9,2,city
3,2100,16000,9,7,city
3,2100,21000,9,7,city
3,2100,21000,9,7,city
3,2100,21000,9,7,city
3,2100,21000,9,10,city
3,2100,21000,9,10,city
2,100,150,195,119,forest
2,100,150,196,139,forest
2,100,150,195,54,forest
2,100,150,195,117,forest
2,100,150,195,127,forest
2,100,300,195,127,forest
2,100,300,195,113,forest
2,100,300,195,118,forest
2,100,300,195,113,forest
2,100,300,195,117,forest
2,100,500,195,93,forest
2,100,500,126,106,forest
2,100,500,196,120,forest
2,100,500,195,218,forest
2,100,500,195,108,forest
2,100,800,195,23,forest
2,100,800,195,118,forest
2,100,800,196,56,forest
2,100,800,195,106,forest
2,100,800,195,126,forest
2,500,150,39,40,forest
2,500,150,39,38,forest
2,500,150,39,40,forest
2,500,150,39,40,forest
2,500,150,39,40,forest
2,500,300,39,40,forest
2,500,300,39,40,forest
2,500,300,39,40,forest
2,500,300,39,40,forest
2,500,300,39,40,forest
2,500,500,39,36,forest
2,500,500,39,40,forest
2,500,500,39,38,forest
2,500,500,39,40,forest
2,500,500,39,40,forest
2,500,800,39,38,forest
2,500,800,39,38,forest
2,500,800,39,19,forest
2,500,800,39,29,forest
2,500,800,39,40,forest
2,500,10000,39,25,forest
2,500,10000,39,38,forest
2,500,10000,39,38,forest
2,500,10000,39,36,forest
2,500,10000,39,23,forest
2,500,13000,39,30,forest
2,500,13000,39,19,forest
2,500,13000,39,8,forest
2,500,13000,39,5,forest
2,500,13000,39,30,forest
2,800,150,24,25,forest
2,800,150,24,24,forest
2,800,150,24,24,forest
2,800,150,24,24,forest
2,800,150,24,24,forest
2,800,300,24,25,forest
2,800,300,24,24,forest
2,800,300,24,24,forest
2,800,300,24,24,forest
2,800,300,24,24,forest
2,800,500,24,25,forest
